email,first_name,last_name,company_name,estado,arquetipo,angulo,bajio,idioma_copy
lourdesortiz@bostonplantillas.com,(Buzon),,Empaques Especializados Del Centro,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
europlan@grupocitrus.com,(Buzon),,Europlantas Moldeadas,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
compras@productoraevadeleon.com,(Buzon),,Corporativo Eva,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
office.mexico@mpeplastics.com,(Buzon),,Mpe Plastics,Guanajuato,Automotriz interiores,abasto local vs importar,Sí,ES
c.solis@temaplax.com,(Buzon),,Temaplax,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
contraloria.predemex@gmail.com,(Buzon),,Predemex,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
contabilidad@plasticoslafiera.com,(Buzon),,Plásticos La Fiera,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
jbriseno@polimeros.com,(Buzon),,Polimeros Y Derivados,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
admonbsc@outlook.com,(Buzon),,Bulcanizados Y Moldeados De Calidad,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
gerencia@dinostamp.com.mx,(Buzon),,Dino Stamp,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
hr_proveedor@hotmail.com,(Buzon),,Hr Proveedor,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
perfilesycercos@hotmail.com,(Buzon),,Perfiles Y Cercos De Plástico,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
consuelo@vanelli.com.mx,(Buzon),,Plasticos Vanelli,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
provakem22@telmex.com,(Buzon),,Provakem,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
mecanicastra@hotmail.com,(Buzon),,Mecanica Stra,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
adm@mypi-plasticos.com,(Buzon),,Mypi,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
sandalindascfdi@hotmail.com,(Buzon),,Sandalindas,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
macron-fl@hotmail.com,(Buzon),,Macron,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
administracion@bacorecoleccion.com,(Buzon),,Baco Recolección,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
administracion@grupopeyga.com.mx,(Buzon),,Peyga Suelas,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
vtasleon@polymat.com.mx,(Buzon),,Polymat,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
jalvarez@gruposolder.com.mx,(Buzon),,Outteck,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
jorgefernandez@feds.com.mx,(Buzon),,Industrial Fed´S,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
arceliafrausto@hotmail.com,(Buzon),,Fusion Plasticos,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
jorgealmaguer@sovere.com.mx,(Buzon),,Sovere De Mexico,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
conversion.termoplasticos@gmail.com,(Buzon),,Conversión Termoplásticos,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
talentorh@gomex.com.mx,(Buzon),,Gomex Termoplasticos,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
grabadoju@hotmail.com,(Buzon),,Grabado Ju,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
virginia.gonzalez@envases.mx,(Buzon),,Envases Universales,Guanajuato,Cosmetica/Empaque,abasto local vs importar,Sí,ES
moldessol@yahoo.com.mx,(Buzon),,Moldes Sol,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
claruz@live.com.mx,(Buzon),,Moldes Kim,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
rk_chemicails@hotmail.com,(Buzon),,R&K Chemicals,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
loya_vila@hotmail.com,(Buzon),,-,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
rucobofacturas@yahoo.com.mx,(Buzon),,Etiquetas Rucobo,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
facturassuelasguivers@hotmail.com,(Buzon),,Suelas Guiver,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
peletizadosdelrio@prodigy.net.mx,(Buzon),,Peletizados Del Rio,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
